封面,名称,类型,排名,话数,放送时间,导演,声优,脚本,评分,评分人数
https://lain.bgm.tv/pic/cover/s/e9/4e/130230_L1SIp.jpg,苍穹之法芙娜 EXODUS 第2期,TV,306,13,2015-10-02,羽原信義,喜安浩平、石井真、松本まりか、小林沙苗、仲西環、新井里美、白石稔、島﨑信長、小野賢章,['XEBEC'],7.9,767
https://lain.bgm.tv/pic/cover/s/36/16/293049_0e0re.jpg,辉夜大小姐想让我告白？～天才们的恋爱头脑战～,TV,307,12,2020年4月11日,畠山守（小俣真一）,古賀葵、古川慎、小原好美、鈴木崚汰、富田美憂、鈴代紗弓、花守ゆみり、麻倉もも、日高里菜,"['赤坂アカ（集英社「週刊ヤングジャンプ」連載）', '八尋裕子']",7.9,6811
https://lain.bgm.tv/pic/cover/s/ce/39/3168_64pw4.jpg,超时空要塞Plus,OVA,308,4,1994年8月25日,渡辺信一郎,山崎たくみ、深見梨加、新居昭乃、石塚運昇、兵藤まこ、林原めぐみ、西村朋紘、内海賢二、速水奨、銀河万丈,"['スタジオぬえ、河森正治', '摩砂雪']",7.9,814
https://lain.bgm.tv/pic/cover/s/24/19/148036_2rP88.jpg,伤物语II 热血篇,剧场版,309,1,2016年8月19日,尾石達也,神谷浩史、堀江由衣、坂本真綾、櫻井孝宏、江原正士、入野自由、大塚芳忠,"['西尾維新（『傷物語』講談社BOX）', '渡辺明夫、守岡英行']",7.9,3027
https://lain.bgm.tv/pic/cover/s/ce/e6/500_Y7HBz.jpg,侧耳倾听,剧场版,310,1,1995年7月15日,近藤喜文,本名陽子、高橋一生,[],7.9,2369
https://lain.bgm.tv/pic/cover/s/35/7a/337_WzSea.jpg,全金属狂潮 The Second Raid,TV,311,13,2005年7月13日,武本康弘,関智一、ゆきのさつき、ゆかな、根谷美智子、三木眞一郎、西村知道、大塚明夫、篠原恵美、大塚芳忠,"['賀東招二', '堀内修']",7.9,3502
https://lain.bgm.tv/pic/cover/s/22/ed/118335_xicxP.jpg,进击的巨人 第二季,TV,312,12,2017年4月1日,諫山創（別冊少年マガジン連載／講談社）,梶裕貴、石川由依、井上麻里奈、神谷浩史、谷山紀章、三上枝織、下野紘、細谷佳正、朴璐美,[],7.9,6888
https://lain.bgm.tv/pic/cover/s/dc/5d/1878_bO9qG.jpg,校园迷糊大王 二学期,TV,313,26,2006年4月2日,金﨑貴臣,小清水亜美、高橋広樹、能登麻美子、堀江由衣、小西大樹、生天目仁美、清水香里、川田紳司、岸尾だいすけ,"['小林尽', '渡辺はじめ']",7.9,1824
https://lain.bgm.tv/pic/cover/s/1a/5e/16621_rr94z.jpg,南方公园 第15季,TV,314,14,2011年04月27日,未知,Trey Parker、Matt Stone,[],8.0,313
https://lain.bgm.tv/pic/cover/s/a8/69/9853_22b2o.jpg,灵异E接触,TV,315,13,2011年1月10日,加藤敏幸,浪川大輔、子安武人、細谷佳正、高塚正也、朝比奈拓見、明坂聡美、金田アキ、金谷ヒデユキ、笹島かほる,['冨樫義博（「レベルE」集英社ジャンプコミックス）'],7.9,3071
